LF1,LF2,class
-0.8703414,-2.0885851,beta_2_pda
-0.6193299,1.082847,beta_5_unbalanced
0.43900675,1.3167506,beta_5_unbalanced
2.724351,0.100366786,beta_4_balanced
2.6262994,-0.6080651,beta_1_yule
0.28923282,-1.765744,beta_3_ab
1.5319115,-1.5546225,beta_1_yule
1.3016825,-1.607498,beta_3_ab
1.2641268,-0.81867445,beta_1_yule
-1.1287154,-1.6440989,beta_3_ab
0.6818365,-2.041585,beta_3_ab
1.2105386,-1.9381672,beta_1_yule
3.1058922,0.12719822,beta_4_balanced
1.4009541,-0.7796411,beta_3_ab
2.7570472,0.61645603,beta_4_balanced
1.9577248,0.39617008,beta_1_yule
-0.62324435,1.5898225,beta_5_unbalanced
2.9556403,-0.25011095,beta_4_balanced
1.6529484,-0.25788355,beta_1_yule
1.3525964,-1.0460066,beta_1_yule
1.7473522,-0.031796522,beta_4_balanced
-0.61896765,-0.97332656,beta_3_ab
0.9061544,-0.9634646,beta_3_ab
-1.3538263,-0.96293265,beta_2_pda
2.8961537,1.5483041,beta_4_balanced
0.83836806,-2.4713314,beta_3_ab
-1.4174439,1.2955514,beta_5_unbalanced
0.7292571,-2.4000244,beta_3_ab
2.8356776,0.9325587,beta_4_balanced
-0.7717674,-1.9587785,beta_3_ab
1.2589672,-1.6719836,beta_1_yule
-0.97423965,-1.6240903,beta_2_pda
-1.0019091,0.95145226,beta_5_unbalanced
2.6665287,0.49211904,beta_4_balanced
1.7049394,-0.27010286,beta_1_yule
0.10962227,-2.2204645,beta_3_ab
-0.8889257,1.6719403,beta_5_unbalanced
2.9138732,1.0716951,beta_4_balanced
0.6901554,-1.985694,beta_3_ab
0.2494895,-2.0102637,beta_3_ab
-0.22934517,1.902616,beta_5_unbalanced
1.7520531,-0.8851292,beta_1_yule
-1.7590098,-0.447773,beta_2_pda
1.7465512,-1.4770374,beta_1_yule
-0.6989083,-1.485208,beta_3_ab
-0.71555024,1.3500016,beta_5_unbalanced
2.2750115,1.1545095,beta_4_balanced
0.70010734,-1.6308746,beta_1_yule
-1.0355567,-0.8103346,beta_2_pda
1.8898158,-0.5619349,beta_1_yule
-0.15096357,1.9125164,beta_5_unbalanced
-0.70039046,1.510889,beta_5_unbalanced
-2.0205953,-1.4076205,beta_2_pda
2.0523741,-0.9184292,beta_1_yule
0.28205472,-2.5258577,beta_1_yule
2.5499094,-0.46442142,beta_1_yule
0.2118573,-2.226525,beta_3_ab
1.9583918,-0.3279841,beta_4_balanced
2.2722497,1.1886057,beta_4_balanced
-1.1448795,-1.1336389,beta_3_ab
-0.2758964,-1.5553513,beta_3_ab
-0.6756897,1.010813,beta_5_unbalanced
-0.86243296,-1.207012,beta_2_pda
2.1927392,-0.37351084,beta_4_balanced
2.7442625,0.60412073,beta_4_balanced
-2.2709417,-0.6532768,beta_2_pda
0.54865664,-1.470678,beta_3_ab
-0.8217828,1.2375299,beta_5_unbalanced
0.6442103,-1.5099508,beta_3_ab
-2.33636,-0.6793163,beta_2_pda
0.15935557,-2.326235,beta_3_ab
2.818375,0.66495496,beta_4_balanced
2.499751,1.3725934,beta_4_balanced
-1.2264254,-0.94429284,beta_2_pda
-0.25697982,-2.0736654,beta_3_ab
2.3167639,0.076858535,beta_1_yule
-0.92469776,1.848024,beta_5_unbalanced
0.30563018,1.8718963,beta_5_unbalanced
-1.6304225,-0.5022632,beta_2_pda
2.598798,0.6068201,beta_4_balanced
-0.8479932,-2.260936,beta_3_ab
-1.0928624,-1.5077553,beta_3_ab
2.624127,0.48544005,beta_4_balanced
0.47621667,-1.5106997,beta_1_yule
2.461671,0.9348849,beta_4_balanced
-2.2050962,-0.67235005,beta_2_pda
3.2587845,1.023177,beta_4_balanced
2.4653015,0.12536325,beta_4_balanced
0.18714978,-2.5620546,beta_3_ab
-0.3206458,-1.4571575,beta_3_ab
1.7770854,-1.4659073,beta_1_yule
-0.60830784,-2.2625668,beta_2_pda
-0.72429407,0.8937799,beta_5_unbalanced
0.7779956,-1.5485982,beta_3_ab
3.0578012,1.0470018,beta_4_balanced
-0.56740767,1.3906639,beta_5_unbalanced
-0.74160933,1.1862111,beta_5_unbalanced
2.4277494,-0.15550949,beta_1_yule
1.989795,-1.3935354,beta_1_yule
-1.4730868,-1.3782741,beta_2_pda
-0.70970726,1.1085246,beta_5_unbalanced
-1.6241231,-1.0672522,beta_2_pda
-0.25352862,1.6669558,beta_5_unbalanced
3.2763712,1.1068401,beta_4_balanced
0.8795345,-1.273217,beta_3_ab
-0.7665905,-1.4260693,beta_2_pda
1.7031629,-1.0343306,beta_1_yule
2.898405,-0.5977767,beta_4_balanced
-2.215258,-0.3359803,beta_2_pda
3.4023967,1.3720016,beta_4_balanced
-0.6534365,-1.6131065,beta_3_ab
2.5179033,-0.12938419,beta_4_balanced
-0.9360554,1.6410204,beta_5_unbalanced
-1.0254672,1.5048735,beta_5_unbalanced
3.0704875,1.0298537,beta_4_balanced
-1.7722708,-0.03243941,beta_2_pda
2.92747,-0.0901886,beta_4_balanced
0.29828745,-1.907546,beta_3_ab
2.7928598,1.3276098,beta_4_balanced
-1.3114111,1.4469116,beta_5_unbalanced
2.8610206,1.2879726,beta_4_balanced
1.1957537,-0.9682667,beta_1_yule
-1.0505586,1.2281477,beta_5_unbalanced
1.7796912,-0.79071426,beta_1_yule
0.89328665,-1.7396399,beta_1_yule
0.26895872,1.9339155,beta_5_unbalanced
0.7576063,-2.1928678,beta_3_ab
1.8495313,-0.36712372,beta_1_yule
-0.10131626,-1.8522142,beta_3_ab
-1.138545,1.7071416,beta_5_unbalanced
-2.2675352,-0.23778534,beta_2_pda
0.034290828,-1.7751328,beta_3_ab
0.40911362,-2.0074644,beta_1_yule
-0.09294337,0.8399874,beta_5_unbalanced
-0.057679355,1.209784,beta_5_unbalanced
3.2788763,0.95578027,beta_4_balanced
1.7322123,-0.96124786,beta_1_yule
0.13085303,-2.0206537,beta_3_ab
-1.5038267,1.1317828,beta_5_unbalanced
1.0776566,-2.1144538,beta_1_yule
2.9943893,0.9022411,beta_4_balanced
-1.3246555,-1.8926347,beta_2_pda
0.10415325,-2.3220403,beta_3_ab
0.73335826,-1.4828943,beta_1_yule
-0.83078337,-1.8688424,beta_3_ab
-0.4622954,1.4580808,beta_5_unbalanced
0.8671165,-0.8776492,beta_1_yule
1.6656722,-0.912163,beta_3_ab
-0.62028694,2.2403088,beta_5_unbalanced
2.7415867,1.052074,beta_4_balanced
0.18939532,-2.0585744,beta_3_ab
1.3067224,-1.4841958,beta_1_yule
0.7673409,-1.6390917,beta_1_yule
0.34496924,-2.1332269,beta_3_ab
-0.23506287,-2.2238703,beta_3_ab
3.360697,0.585871,beta_4_balanced
-0.98177195,-1.450159,beta_2_pda
1.5290278,-0.6088767,beta_1_yule
-1.431992,1.0240878,beta_5_unbalanced
2.217629,0.40872774,beta_4_balanced
2.1392176,0.55559057,beta_4_balanced
0.96515644,-2.068787,beta_3_ab
-0.3063364,1.9608216,beta_5_unbalanced
-2.1375427,-0.567641,beta_2_pda
-0.21471599,-2.3147407,beta_3_ab
0.2754132,-1.8349382,beta_3_ab
-0.29307893,-1.8536565,beta_3_ab
-2.1973383,-0.8987241,beta_2_pda
-0.78858846,0.89732397,beta_5_unbalanced
-0.3278417,-2.287866,beta_3_ab
2.1925983,-0.6289317,beta_1_yule
-0.5969414,1.078173,beta_5_unbalanced
-0.2028487,1.1229463,beta_5_unbalanced
-0.83157253,0.74153787,beta_5_unbalanced
0.23900981,-2.4338908,beta_3_ab
-0.46155787,-1.8494227,beta_3_ab
-2.1357045,-0.6692604,beta_2_pda
-0.9914833,1.9120189,beta_5_unbalanced
-0.4869261,-1.8493632,beta_3_ab
-0.12871298,-2.006223,beta_3_ab
